級,四字熟語,読み,意味
4級,舞文曲筆,ぶぶんきょくひつ,言葉を飾りつけるために、事実を曲げて文章を書くこと。「舞文」は文章を飾るために、好き勝手に文章をいじること。「曲筆」は事実を捻じ曲げて文章を書くこと。「文を舞（ま）わしめ筆（ふで）を曲（ま）ぐ」とも読む。「曲筆舞文」ともいう。
4級,文武一途,ぶんぶいっと,文事と武事、文官と武官を区別しないこと。文と武が偏ることを戒める言葉。
4級,平談俗語,へいだんぞくご,普通の生活でいつも使っている言葉のこと。「平談」はふだんの会話。「俗語」はふだん話すときに使う日常的な言葉のこと。
4級,平平凡凡,へいへいぼんぼん,際立って優れている点も変わった点もないありきたりな様子。目立つほど優れているところも変わっているところもないという意味の「平凡」を重ねて強調した言葉。「平々凡々」とも書く。
4級,辺幅修飾,へんぷくしゅうしょく,外見や世間体をよく見えるように飾って見栄を張ること。「辺幅」は布の縁のこと。転じて外見のこと。 「修飾」は飾り立てること。布の縁を縫って、ほころびを取り繕うことから。「辺幅（へんぷく）を修飾す」とも読む。 「修飾辺幅」ともいう。
4級,片利共生,へんりきょうせい,一緒に生活していて、片方だけが利益を得ているが、片方は利益も損害も受けないこと。「片利」は一方だけが利益を得ること。「共生」は別の種類の生き物が一緒に暮らすこと。 「片利共棲」とも書く。
4級,砲煙弾雨,ほうえんだんう,この上なく激しい戦闘の様子。「砲煙」は大砲を撃つ時に出る煙、「弾雨」は弾丸が雨のように降り注ぐという意味。
4級,放語漫言,ほうごまんげん,根拠の無い適当なことを言いたい放題に言うこと。「漫言」は大して考えずに口から出た言葉。 「放語」は言い散らすこと。「放語漫言」「漫語放言」ともいう。
4級,抱薪救火,ほうしんきゅうか,害を取り除こうとして行動すると、逆に被害が大きくなること。薪を抱えたまま火を消そうとするということから。「薪（たきぎ）を抱（いだ）きて火を救う」とも読む。
4級,本末転倒,ほんまつてんとう,物事の重要な部分とそうでない部分を逆に捉えてしまうこと。「本末」の「本」は大事なこと、「末」は取るに足らないこと。「転倒」は逆さにすること。
4級,暮雲春樹,ぼうんしゅんじゅ,遠く離れている友人に思いをはせること。「暮雲」は夕方の雲。 「春樹」は春になって新しい木の芽がふいた木のこと。
4級,漫言放語,まんげんほうご,根拠の無い適当なことを言いたい放題に言うこと。「漫言」は大して考えずに口から出た言葉。 「放語」は言い散らすこと。「放語漫言」「漫語放言」ともいう。
4級,三日坊主,みっかぼうず,僧侶の修行をしても三日も続かないということから、飽きやすく長続きしないことやその人のこと。「三日」は非常に短い期間のこと。
4級,妙計奇策,みょうけいきさく,他の人の思いつかないような奇抜ですぐれた計略。「妙計」はすぐれた計略のこと。「奇策」は人が思いつかない奇妙な策のこと。 「奇策妙計」ともいう。
4級,妙法一乗,みょうほういちじょう,法華経だけが悟りを得られる唯一のものと説いたもの。「妙法」は仏法の妙法蓮華経、「一乗」は悟りを得るための唯一の道という意味。
4級,無為自然,むいしぜん,人の手を加えずにあるがままにまかせること。「無為」は何もしない、「自然」は人の手が入っていないありのままの状態。
4級,無為徒食,むいとしょく,何もしないでただ過ごすこと。「無為」は何もしないこと。 「徒食」は働かないで食べること。「徒食無為」ともいう。
4級,無為無策,むいむさく,何も対策をせずに、そのまま放置すること。「無為」は何もしないこと。「無策」は有効的な対策をだすことができないこと。 「無策無為」ともいう。
4級,無為無能,むいむのう,「何もしない何もできない」ということ。自分のことを謙遜するときに用いることが多い。 「無為」は何もしないこと。「無能」は能力がないということ。
4級,無我夢中,むがむちゅう,一つの物事に集中しすぎて、自分のことすら忘れること。または、集中しすぎて他のことを何も気にかけないこと。「無我」は仏教語で自分への執着をなくすということから我を忘れること、「夢中」は一つのことに集中して他のことをまったく考えられなくなること。
4級,無恥厚顔,むちこうがん,恥知らずで、遠慮がない態度のこと。「厚顔」はあつかましいこと。 「無恥」は恥知らずなこと。他人のことを一切考えずに、自分の思い通りに行動する態度のこと。「無恥厚顔」ともいう。
4級,無味乾燥,むみかんそう,面白いと思える要素や風情が何もないこと。「無味」は味が無いという意味から、面白みがないことのたとえ。「乾燥」は水分がなくなり潤いに欠けるという意味から、風情や面白みがないことのたとえ。「乾燥無味」ともいう。
4級,迷者不問,めいしゃふもん,わからないことがあれば積極的に尋ねるべきだという戒め。無知な人は道に迷っても、人に道を尋ねることをせず、さらに迷うことになるという意味。
4級,迷惑千万,めいわくせんばん,非常に迷惑なこと。「千万」は数が非常に多いという意味から、程度のはげしさをあらわす言葉。
4級,面壁九年,めんぺきくねん,長い期間一つのことに専念してやり遂げること。または、長い期間努力し続けること。達磨大師が嵩山の少林寺に籠り、九年間壁に向かって座禅を組んで悟りを開いたという故事から。「九年面壁（くねんめんぺき・きゅうねんめんぺき）」ともいう。
4級,綿裏包針,めんりほうしん,穏やかで優しそうに見えるが、実際は相手に気付かれないような悪意を持っていること。「裏」は内側という意味で、柔らかい綿の中に危険な針を隠すという意味から。「針」は害意のたとえ。 「綿裏（めんり）に針を包む」とも読む。
4級,目食耳視,もくしょくじし,衣食の本質を忘れて、見た目の贅沢さだけを求めること。「目食」は味を気にせずに見た目が豪華なものを食べること。「耳視」は評判を気にして、たとえ似合わなくても高価な衣服を選ぶこと。「耳視目食」ともいう。
4級,物我一体,もつがいったい,仏教語で他の人と自分が一つになり、他者も自分もない境地のこと。
4級,野戦攻城,やせんこうじょう,野原や平地で戦闘をして、城を攻めること。「攻城」は城を攻めること。 「野戦」は野外で戦うこと。「野戦攻城」ともいう。
4級,夜郎自大,やろうじだい,自分の力量も知らずに、偉そうに振舞うこと。「夜郎」は中国、漢代にあった国の名前。夜郎国の王が漢の大きさを知らずに、漢国の使者に自分の国の大きさを自慢して、夜郎国と漢国のどちらが大きいか尋ねた故事から。
4級,有脚陽春,ゆうきゃくようしゅん,足のある陽気の満ちた春という意味から、行く先々で仁徳を施す人のこと。唐の宋璟という人物が行く先々で恩徳を施したことを、人々が称した故事から。
4級,有厚無厚,ゆうこうむこう,不合理なことをこじつけによって正当化しようとすること。「極めて厚さがあるものは、もはや厚い厚くないということすら言えないので厚さの概念自体がない」という詭弁（きべん）。
4級,雄材大略,ゆうざいたいりゃく,すぐれた才能と大きな策略のこと。「雄材」はすぐれた才能、「大略」は大きな計略という意味。
4級,優勝劣敗,ゆうしょうれっぱい,能力のある者が勝ち、劣っている者が負けること。生存競争で強者が繁栄して、弱者が滅亡すること。
4級,優柔不断,ゆうじゅうふだん,いつまでもはっきりとせず、決断力に欠けること。「優柔」ははっきりとしないこと、「不断」はどうするか決めることができないこと。
4級,勇猛精進,ゆうもうしょうじん,精力的に物事に取り組むこと。困難を克服し、一心に仏道修行をすること。「勇猛」は勇ましく猛々しいさま。 「精進」は精神を打ち込んで励むこと。「精進勇猛」ともいう。
4級,用意周到,よういしゅうとう,準備に手抜かりがなく、心遣いが行き届いていること。
4級,陽関三畳,ようかんさんじょう,繰り返し別れを惜しむこと。または、送別の詩として名高い陽関の曲の第四句を三度繰り返して歌うこと。「畳」は繰り返すという意味。
4級,要害堅固,ようがいけんご,険しい地形により外敵からの攻撃を防ぎやすく、攻め落とすことが難しいさま。また、そのような地形に築かれた砦（とりで）。「要害」は地形が険しく、守るのに有利な場所のこと。「堅固」はしっかりしていて、容易に破れないさま。
4級,容姿端麗,ようしたんれい,顔立ちや姿かたちが美しいこと。「容姿」は顔立ちや姿かたち、「端麗」は整っていて美しいこと。
4級,用和為貴,ようわいき,人と人が仲良く協力しあうことが最も大切であるということ。聖徳太子が作ったとされる「十七条憲法」の第一条にある言葉。「和を用て貴しと為す」と読むのが一般的な言葉。
4級,乱離拡散,らんりかくさん,戦争で世の中が乱れて人々が離れ離れになること。または、世の中が荒れ果てること。「乱離」は国が乱れて多くの人が離れ離れになること。
4級,力戦奮闘,りきせんふんとう,力の限り努力すること。または、全力で戦うこと。「力戦」は全ての力を注いで戦うこと。 「奮闘」は気力を振るって戦うこと。
4級,離合集散,りごうしゅうさん,離れては集まり、集まっては離れたりすること。または、協力したり対立したりすること。「離合」と「集散」はどちらも離れたり集まったりすることで、同じ意味の語を重ねて強調した語。「集散離合」ともいう。
4級,流連荒亡,りゅうれんこうぼう,家にも帰らず、仕事もせずに酒を飲んだり遊びにふけって無駄に日々を過ごすこと。「流連」は川遊びや山遊びに夢中になって帰るのを忘れること。「荒亡」は狩りをしたり、酒を楽しんだりして仕事をしないこと。
4級,良弓難張,りょうきゅうなんちょう,すぐれた才能をもつ人を使うことは難しいが、使いこなすことが出来れば非常に役に立つということ。「難張」は弓の弦を張ることが難しいこと。弓の弦を強く張るのは難しいが、張ることが出来れば素晴らしい威力を発揮できるという意味から。「良弓（りょうきゅう）張り難し」とも読む。
4級,良風美俗,りょうふうびぞく,美しく、素晴らしい風習や習慣。「風」と「俗」はどちらも習慣やしきたり。
4級,六十耳順,ろくじゅうじじゅん,六十歳になると、人の言葉をすぐに理解することができるようになり、異なる考えも素直に受け入れることができるということ。孔子が生涯を述懐して語った言葉。
4級,論旨明快,ろんしめいかい,議論や主張などの内容が分かりやすいこと。「論旨」は議論や主張などの内容。
4級,和敬清寂,わけいせいじゃく,茶道で主人と客が心を和らげて互いに敬い、茶室や茶器や雰囲気などを清らかで静かに保つこと。「和敬」は主人と客が互いに心を和らげ敬うこと。「清寂」は清らかで静かに保つこと。 千利休の茶道の精神を象徴する言葉。
3級,哀哀父母,あいあいふぼ,自分を生んで苦労を重ねてくれた父母の死を悼み、その恩に報いることができず哀しむこと。「哀哀（あいあい）たる父母」とも読む。
3級,哀糸豪竹,あいしごうちく,悲しい音をだす琴と、力強く明るい音をだす笛の見事な管弦は、人を感動させること。
3級,愛多憎生,あいたぞうせい,人並みはずれてかわいがられると、そのぶん周りのねたみを招くということ。恩が深すぎれば怨みが生まれ、愛が多すぎれば憎しみが生じる、という言葉から。「愛多ければ憎しみ生ず」とも読む。 「愛多憎至」ともいう。
3級,安穏無事,あんのんぶじ,何事もなく、世の中や暮らしが穏やかで安らかなさま。「無事安穏」ともいう。
3級,衣冠盛事,いかんせいじ,名門の家に生まれてさらに功績を上げた後に、家の名声を引き継ぐこと、またはその者のこと。「衣冠」は衣服と冠のことで名門、立派な家柄という意味。「盛事」は立派な事業や功績、盛大な事柄のこと。
3級,衣冠束帯,いかんそくたい,昔の貴族や官僚が公事で着用する礼装のこと。「束帯」は貴族や官僚が公事で着用する礼装のこと。「衣冠」は簡易化した礼装のこと。
3級,意気衝天,いきしょうてん,気力が天を衝くほど高く充実している様子。「意気」は気力や気概、「衝天」は天を衝くほど高いという意味。
3級,意気自如,いきじじょ,心の持ち方がいつも通りで平静な様子。「意気」は気力や気概、「自如」は動じない様子。
3級,意気揚揚,いきようよう,威勢がよく誇らしげに振る舞う様子。「揚揚」は非常に得意げな様子。
3級,異端邪説,いたんじゃせつ,少数派に信じられている正統ではない主張・学説・信仰などのこと。「異端」は多くの人には認められず、少数の人によって信じられている主張や学説、宗教などのこと。「邪説」は道理に外れた主張や学説のこと。 「邪説異端」ともいう。
3級,一栄一辱,いちえいいちじょく,人の世は、良いときもあれば悪いときもあるということ。「栄」は栄えること。 「辱」ははずかしめを受けること。
3級,一言芳恩,いちごんほうおん,ひと言声をかけてもらったことに対して感謝すること。また、その人を主人と仰ぐこと。 「芳恩」は人から受けた恩の敬称。
3級,一樹百穫,いちじゅひゃっかく,人材を育成することは、大きな利益につながるということ。また、大計を成功させるには人材の育成が必要であるということ。「一樹」は一本の木を植えること。 「百穫」は百倍の収穫の意。
3級,一諾千金,いちだくせんきん,決して裏切らない、一度約束したことは守らなければならないというたとえ。一度引き受けた約束には、千金同様の重みがあるということ。「一諾」は一度承知して、引き受けること。 「千金」は大金のたとえ。中国楚の季布は、一度承知して引き受けたことは違えることなく確実に果たしたため、季布に約束を引き受けてもらうことは千金を得るよりも価値があると言われていたという故事から。
3級,一了百了,いちりょうひゃくりょう,一つが解決すれば、すべてのことが解決すること。または、根本の一つから、全体を推測できること。「一」と「百」は初めと終わりの意味。 「了」は終わること。
3級,一喜一憂,いっきいちゆう,物事の状況が変化するたびに喜んだり心配したりすること。または、周りの状況に振り回されること。 「喜」はよろこぶこと。「憂」は心配すること。
3級,一騎当千,いっきとうせん,並外れた能力を持つ勇敢な人のこと。または、ずば抜けた能力や経験を持つ人のこと。「一騎」は一人の騎兵、「当千」は千人の敵と当たることで、一人で千人の敵と戦うことが出来るほど強いという意味から。
3級,一球入魂,いっきゅうにゅうこん,野球で、精神を集中して一球一球を投げること。「入魂」はものごとに魂を込めること。 野球から生まれた造語。
3級,一虚一実,いっきょいちじつ,"さまざまに変化して、予測が難しいことのたとえ。「一」は\""あるときは\""の意味。 「虚」はむなしいこと、消えること。「実」は満ちること、現れること。"
3級,一酔千日,いっすいせんにち,極めておいしい酒のこと。一杯飲むだけで心地よく酔い、そのまま千日眠り続けるという意味から。酒好きの劉玄石という人が、酒屋で千日酒という酒を買い、酔って眠ると家族に死んだと思われて葬られてしまった。飲酒の限度を言い忘れた酒屋の店主が、千日後を狙って劉玄石を訪ねたところ、既に埋められていた。店主が慌てて墓を暴くと劉玄石が、ちょうど目を覚ましたところだったという故事から。
3級,一銭一厘,いっせんいちりん,ほんの少しの金銭のこと。または、非常に少ないこと。「銭」と「厘」はどちらも昔の金銭の単位で、「銭」は一円の百分の一の単位、「厘」は一円の千分の一の単位。
3級,一超直入,いっちょうじきにゅう,迷いを乗り越えると、悟りの境地に至ることができるということ。「直入」はすぐに悟りを得ること。仏教の言葉で、煩悩を捨てさってしまえば、すぐに悟りを得ることができることを言う言葉。
3級,一敗塗地,いっぱいとち,勝負に完全に負けること。「塗地」は戦争で負けた兵士の内臓が地面に散乱して、泥まみれになること。二度と起き上がることができないほどの敗北をいう。「一敗（いっぱい）、地（ち）に塗（まみ）る」とも読む。
3級,意到筆随,いとうひつずい,文章を作るときに、思ったままに筆が進むこと。文章を書きたいと思う気持ちのままに筆が進むという意味から。「意（い）至りて筆（ふで）随（したが）う」とも読む。
3級,陰陰滅滅,いんいんめつめつ,雰囲気が暗く、陰気な気分になって元気がなくなる様子。「陰」は薄暗くて寂しい様子。 「滅」は活力がなくなっていく様子。「陰」と「滅」を重ねて強調した言葉。
3級,有財餓鬼,うざいがき,「餓鬼」は仏教語の餓鬼道に落ちて常に飢えに苦しむ亡者のことで、欲深く異常なほど金銭に執着する人のこと。
3級,運斤成風,うんきんせいふう,同じ人間とは思えないほどの素晴らしい技術。または、そのような技術を持っている職人。 「運斤」は手斧を振るうこと。「成風」は風を起こすこと。 手斧を振るって風を起こすという意味から。鼻の先に塗った白土を、石という名前の大工が、風を起こすほどの勢いで手斧を振るって、傷一つつけずに白土を落としたという故事から。「斤（きん）を運（めぐ）らし風を成す」とも読む。
3級,雲行雨施,うんこううし,天子の恩恵が広く行き渡ること。雲が動いて様々な場所で雨が降り、全てのものを潤すという意味から。「雲行（ゆ）き雨施（ほどこ）す」とも読む。
3級,雲散鳥没,うんさんちょうぼつ,そこに存在していた痕跡が完全に消え去る様子を表す言葉。雲が風に散るがごとく、鳥が飛び去るがごとく、完全に消え去ってしまうとの意から。
3級,雲翻雨覆,うんぽんうふく,人の心や、世間の人々の考えは変わりやすいことのたとえ。「翻」は手のひらを上に向けること。 「覆」は手のひらを下に向けること。手のひらを上に向ければ雲が発生して、手のひらを返せば雨に変わるということから、ほんの少しの時間で状況が全く別のものになるということ。「手を翻せば雲と作り手を覆せば雨」という言葉を略した言葉。「雲飜雨覆」とも書く。
3級,栄華秀英,えいかしゅうえい,草木の花の総称のこと。「栄」は草の花、「華」は木の花、「秀」は実を結ぶが花が咲かないもの、「英」は実を結ばないが花は咲くもののこと。
3級,英華発外,えいかはつがい,かくしていた美しくてすぐれた内面が、表に現れること。「英華」は美しい花や華やかな光のこと。 「発外」は表に出ること。
3級,栄枯盛衰,えいこせいすい,栄えたり衰えたりすること。または、繁栄しても衰退する人の世界の儚さのこと。「栄枯」は草木が茂ったり枯れたりすること。「盛衰」は盛んなことと衰えること。 「盛衰栄枯」ともいう。
3級,影隻形単,えいせきけいたん,誰一人として身内がいなくて孤独なこと。「形」は体のこと。 「隻」は一つのこと。体が一つ、影が一つという意味から。 「影隻形単」ともいう。
3級,英雄欺人,えいゆうぎじん,英雄人を欺くとも読み、傑出した能力を持つ人は常人の思いつかない奇抜な計略や行動をとるということ。
3級,円孔方木,えんこうほうぼく,物事が食い違っていて、上手く噛み合わないこと。「円孔」は円形の穴。「方木」は木を接合するときに、一方の穴にはめ込むための四角形の突起部分。四角形のほぞ。木を接合するときに、円形の穴に四角形のほぞを入れようとするという意味から。
3級,円転滑脱,えんてんかつだつ,角を立てることなく、物事を順調に処理すること。「円転」は、滑らかに転がるという意味から、物事が停滞することなく進むことのたとえ。「滑脱」は、状況に合わせて自在に変化するという意味から、手落ちのない応対をすること。
3級,延年転寿,えんねんてんじゅ,歳老いてもますます長生きすること。「転寿」はさらに長生きすること。元は仏教の言葉で、修行や仏の加護を受けることで寿命を延ばすという意味から。
3級,延陵季子,えんりょうのきし,中国の春秋時代の呉の季札のこと。「延陵」は中国の呉の地名。 「季」は兄弟の四男のこと。賢者の季札は、父親の呉王の寿夢の四男で、延陵を与えられて、見事にその地を治めたということから。
3級,遠慮近憂,えんりょきんゆう,これから先のことをしっかりと考えて行動しないと、突然切迫した心配事が起きるということ。「遠慮」は将来のことをしっかりと考えること。「近憂」は身近なところで起こる心配事のこと。「遠き慮り無ければ、必ず近き憂い有り」を略した言葉。
3級,応急措置,おうきゅうそち,その場をしのぐために行う仮の処置のこと。「応急」は急場しのぎ。 「措置」はうまく取り計らって処理すること。
3級,屋上架屋,おくじょうかおく,無駄なことを繰り返すことのたとえ。または、独創性のないことのたとえ。 「屋上」は屋根の上。「架屋」は屋根を架けること。 屋根の上に屋根を架けるという意味から。
3級,温厚篤実,おんこうとくじつ,心が温かく穏やかで、誠実な性格のこと。「温厚」は穏やかで情に厚いこと。 「篤実」はまじめで思いやりがあること。「篤実温厚」ともいう。
3級,温良篤厚,おんりょうとっこう,優しく穏やかで、思いやりがあること。「温良」は優しく穏やかなこと。 「篤厚」は情に厚いこと。孔子が儒教の基本経典の『詩経』を評した言葉で、詩は昔の純朴な民情で満ちていて、これが人に感動を与えて教化する力を持っていると説いたもの。
3級,海内無双,かいだいむそう,この世で、比べる人がいないくらい優れている人のこと。「海内」は世界や国内のこと。「無双」は二つとない、または比べることができないという意味。
3級,改頭換面,かいとうかんめん,見た目は変化しても中身が何も変わっていないこと。「改頭」は頭を新しいものに変えること。「換面」は顔を新しいものに換えること。「頭（こうべ）を改め面を換（か）う」とも読む。
3級,怪力乱神,かいりきらんしん,人の知識では理解することが出来ない、怪しく奇怪な現象や物事のこと。「怪」は奇怪な現象。 「力」は勇ましく、力が強いこと。「乱」は道徳に反することや社会の秩序を乱すこと。「神」は人が見ることの出来ない超人的な力を持つ存在、鬼神や神霊のこと。原文では「子は怪力乱神を語らず」とあり、理解できない奇怪なものは教訓にしないという孔子の姿勢を示す言葉。
3級,河魚腹疾,かぎょのふくしつ,内側から腐敗して、国などが崩壊していくこと。「腹疾」は内臓の病気のこと。 魚は内臓から腐り始めるという意味から。
3級,隔岸観火,かくがんかんか,他人の災難の手助けをしようとせず、ただ見物すること。「隔岸」は川の向こう岸のこと。 「観火」は火事を見ること。「対岸の火事」と同じ意味の言葉。元は兵法三十六計の第九計で、内乱などで敵が自滅するのを黙って待つ戦術のことをいう。「岸（きし）を隔てて火（ひ）を観る」とも読む。
3級,佳人才子,かじんさいし,理想的な男女のこと。「才子」はすぐれた才能の男性。 「佳人」は美しい女性。「佳人才子」ともいう。
3級,佳人薄命,かじんはくめい,美しい女性は運に恵まれずに不幸せなことが多いという意味。または、美しい女性は病気や事故などに遭いやすく、一生が短いことが多いという意味。「佳人」は容姿の美しい女性のこと。または、品格や知性のある女性のこと。「薄命」は短命なこと。運命に恵まれないこと。
3級,割鶏牛刀,かっけいぎゅうとう,ちょっとしたことに、無駄に大きな手段を使って処理すること。牛をさばくための牛刀を使って鶏をさばくという意味から。「鶏を割くに焉んぞ牛刀を用いん」を略した言葉。 「牛刀割鶏」ともいう。
3級,下陵上替,かりょうじょうたい,世の中が乱れている様子。「陵」は下のものを超えて上になるという意味。 「替」は衰えるという意味。下のものが、衰えた上のものを超えて上になるという意味で、下克上の世の中をいう。「下（しも）陵（しの）ぎ上（かみ）替（すた）る」とも読む。
3級,緩歌慢舞,かんかまんぶ,ゆったりとした調子で歌って舞うこと。「緩歌縵舞」とも書く。
3級,感慨無量,かんがいむりょう,計ることが出来ないほど、深く感じ入ること。「感慨」は深く心に感じて、しみじみとした気持ちになり、その気持ちにひたること。「無量」は計ることができないほどに量が多いこと。「感無量」という言葉はこれを略したもの。
3級,緩急自在,かんきゅうじざい,物事を思いのままに操ること。「緩急」は程度が弱いことと強いこと。または、遅いことと早いこと。「自在」は思ったとおりにできること。状況に合わせて程度や速度などを思い通りに操ることをいう。
3級,換骨奪胎,かんこつだったい,詩文の創作法の一つで、昔の人が作った詩文の表現や発想を取り入れ、それに自身の発想を加えて新しいものを作り出すこと。または、新しい技術や発想を加えて古いものを作り直すこと。または、外側が同じでも中身が違うことや、中身だけを取り替えること。現在では、他人の詩文を作り変えて自分の作品のように見せかけるという意味もあるが、本来は誤用。元は人が修行して仙人の体に生まれ変わるという意味の言葉で、それを詩文を創作することにたとえた言葉。「換骨」は凡骨を仙骨に換えること。「奪胎」は胎盤を奪い自分のものにするという意味から、昔の詩文の内容を手本にして作り変えること。「骨を換え胎を奪う」とも訓読する。 「奪胎」は「脱胎」とも書く。「奪胎換骨（脱胎換骨）」ともいう。
3級,冠婚葬祭,かんこんそうさい,祝いと弔いの儀式の総称。「冠」は成人式、「婚」は結婚式、「葬」は葬式、「祭」は法事や盆などの祖先の祭礼のこと。「婚」は「昏」、「葬」は「喪」とも書く。
3級,冠前絶後,かんぜんぜつご,他よりも、飛び抜けてすぐれていること。または、極めて珍しいこと。「冠前」は過去から今までで一番すぐれていること。「絶後」は今から未来にも現われないということ。「冠絶」と略して使うこともある言葉。中国の宋の徽宗帝が、唐の画家の呉道子を評した故事から。
3級,官尊民卑,かんそんみんぴ,政府や役人などの官営事業を尊んで、民間人や民間事業を卑しむこと。「官」は政府や役人のこと。 「民」は普通の人、民間人のこと。
3級,肝胆相照,かんたんそうしょう,お互いに心の奥深くまで理解しあっていて、打ち解け合っている関係のたとえ。「肝胆」は内臓の肝臓と胆嚢のことで、心の奥底のたとえ。肝臓と胆嚢のように近くて深い関係ということから。「肝胆（かんたん）相（あい）照らす」とも読む。
3級,管仲随馬,かんちゅうずいば,聖人の知恵を借りること。または、昔の人の経験を尊重することのたとえ。 「管仲」は中国の人の名前。「随」は従うこと。中国の春秋時代、名宰相といわれていた管仲は、戦いから帰るときに道に迷い、馬の知恵を借りようと馬を放ち、馬の後についていくと帰ることができたという故事から。「管仲（かんちゅう）馬（うま）に随（したが）う」とも読む。
3級,肝脳塗地,かんのうとち,戦場で無残な死に方をすることのたとえ。または、忠義を尽くすためならどんな犠牲も惜しまないことのたとえ。「肝脳」は内臓の肝臓と脳。 「塗地」は土でひどく汚れること。死体の内臓が土で汚れるという意味から。
3級,気炎万丈,きえんばんじょう,燃え上がる炎のように、他を圧倒するほどの意気込みのこと。「気炎」は燃え上がる炎のように盛んな意気込み。「万丈」は非常に高いことで「丈」は長さの単位。
3級,奇奇怪怪,ききかいかい,常識では考えることができないような不思議なこと。または、許せないくらいけしからぬこと。「奇」と「怪」はどちらも不思議なことという意味で、重ねて強調した言葉。「怪怪奇奇」ともいう。
3級,規制緩和,きせいかんわ,主に経済を発展させるために、産業や経済に関する制限を廃止したり、緩めたりすること。「規制」は物事の限界を決めて、それを越えないように守らせること、「緩和」は緩めること。
3級,奇怪千万,きっかいせんばん,いつもとは違っていて物凄く不気味なこと。または、酷く礼儀や道理にはずれていること。「奇怪」は不道徳や不思議、不気味ということ。
3級,喜怒哀楽,きどあいらく,「喜び」「怒り」「悲しみ」「楽しみ」といった、人間がもっているいろいろな感情のこと。
3級,季布一諾,きふのいちだく,確実に果たしてもらえると信じられる約束。「季布」は人の名前。楚の季布は一度約束を交わすと、確実にそれを果たしたという故事から。「季布」と略して用いることもある。
3級,脚下照顧,きゃっかしょうこ,他人の批判をする前に、自分の過去の言動を見つめ直してよく考えるべきであるという自己反省の教え。または、身近なことこそ気をつけるべきという戒め。 もとは禅宗の言葉。「脚下」は足もとのこと。 「照顧」は反省することや、しっかりと見ること。「照顧脚下」ともいう。
3級,九夏三伏,きゅうかさんぷく,夏の一番暑い時期のこと。「九夏」は夏の季節の九十日間。 「三伏」は初伏、中伏、末伏のこと。夏至以降の三回目の庚の日を初伏、四回目の庚の日を中伏、立秋の後の最初の庚の日を末伏という。
3級,虚往実帰,きょおうじっき,師匠や先生などから偉大な教えを受けること。「虚往」は頭の中を空にして出掛けること。「実帰」は十分に満たして帰ること。知識が全くない状態で出掛けて、出掛けた先でたくさんの教えを受け、十分に満たされて帰るという意味から。「虚（きょ）にして往（ゆ）き実（み）ちて帰る」とも読む。
3級,挙棋不定,きょきふてい,方針を決めずに、その場しのぎで対処すること。または、なかなか決断することができないこと。「挙棋」は囲碁の石をつまみあげること。「不定」はこれからどうするか決まっていないこと。囲碁の石を持ったが、どこに打つか決められないということから。「棋（き）を挙（あ）げて定まらず」とも読む。
3級,虚気平心,きょきへいしん,心を空にして落ち着けること。「虚気」は感情をなくすこと。 「平心」は心を落ち着けること。「気を虚（むな）しくして心を平らかにす」とも読む。
3級,虚虚実実,きょきょじつじつ,互いに策略の全てを出して、全力で戦うこと。または、嘘と真を混ぜ合わせながら、互いに腹の内を探り合うこと。「虚」は相手の弱い部分、「実」は相手の強い部分。強い部分を避けて、弱い部分を攻めるということから。「虚」と「実」をそれぞれ重ねて意味を強調した言葉。「虚々実々」とも書く。
3級,虚実皮膜,きょじつひまく,芸術は、虚構と現実の境界にあるということ。「虚実」は虚構と現実。「皮膜」は皮膚と薄皮ということから、区別できないほどのほんの少しの違いという意味。日本の江戸時代、浄瑠璃の作者の近松門左衛門が唱えた芸術論で、虚構と現実の境界にこそ真の芸術はあるとする論。「皮膜」は「ひにく」とも読む。
3級,挙措失当,きょそしっとう,対処の方法や振る舞いが間違っていること。「挙措」は立ち居振る舞いや態度のこと。 「失当」は適切ではないこと。「挙措（きょそ）、当を失す」とも読む。
3級,挙措進退,きょそしんたい,日常生活の立ち居振る舞いのこと。「挙措」は手を上げ下げするという意味から、立ち居振る舞いのこと。「進退」は進むことと退くことという意味から、立ち居振る舞いのこと。
3級,器用貧乏,きようびんぼう,何でも人並み以上にうまいために、色々なことに手を出してしまい、どれも中途半端となり極めることができないこと。または、そのような器用さを都合よく利用され、個人としての実績を上げることが出来ないこと。
3級,岐路亡羊,きろぼうよう,進路や方針が多すぎて何を選ぶべきかわからなくなること。または、学問の道が細かく分かれすぎていて、学問の根本を捉えにくいことのたとえ。「岐路」は分かれ道のこと。 「亡羊」は羊を見失うこと。羊が逃げ出し、大勢の人で追いかけたが分かれ道が多く、逃げられてしまったという話を聞いた楊朱は、学問も同じように様々なものに分かれすぎていて、それぞれ根本の部分は同じなのにそれを忘れ、理解できなくなっていると言ったという故事から。
3級,勤倹力行,きんけんりっこう,しっかりと働いて、質素に暮らしながら力の限り努力すること。「勤倹」はよく働いて、無駄遣いをしないようにすること。「力行」は力の限り努力すること。
3級,金殿玉楼,きんでんぎょくろう,立派で美しい豪華な建物のこと。「金殿」は金で飾った建物のこと。 「玉楼」は宝石で飾った建物のこと。「玉楼金殿」ともいう。
